# step E_mixed E_primitive r
0 -0.500000 -164.721955 0.011793
1 -0.500000 -164.837389 0.011778
2 -0.500000 -164.914750 0.011773
3 -0.500000 -165.081287 0.011770
4 -0.500000 -165.108978 0.011764
5 -0.500000 -165.254462 0.011750
6 -0.500000 -165.376188 0.011767
7 -0.500000 -165.421120 0.011773
8 -0.500000 -165.559517 0.011737
9 -0.500000 -165.853404 0.011699
10 -0.500000 -166.006185 0.011688
11 -0.500000 -166.078526 0.011683
12 -0.500000 -166.336926 0.011677
13 -0.500000 -166.459744 0.011680
14 -0.500000 -166.571894 0.011669
15 -0.500000 -166.609210 0.011658
16 -0.500000 -166.665547 0.011591
17 -0.500000 -166.991114 0.011581
18 -0.500000 -167.054486 0.011552
19 -0.500000 -167.130899 0.011550
20 -0.500000 -167.247932 0.011559
21 -0.500000 -167.393722 0.011539
22 -0.500000 -167.447857 0.011549
23 -0.500000 -167.574888 0.011562
24 -0.500000 -167.608489 0.011540
25 -0.500000 -167.857409 0.011529
26 -0.500000 -167.928096 0.011545
27 -0.500000 -168.099251 0.011536
28 -0.500000 -168.149136 0.011540
29 -0.500000 -168.245527 0.011493
30 -0.500000 -168.384664 0.011541
31 -0.500000 -168.587171 0.011524
32 -0.500000 -168.628373 0.011486
33 -0.500000 -168.910163 0.011500
34 -0.500000 -169.005422 0.011482
35 -0.500000 -169.185698 0.011494
36 -0.500000 -169.284698 0.011474
37 -0.500000 -169.368022 0.011473
38 -0.500000 -169.415484 0.011443
39 -0.500000 -169.496873 0.011427
40 -0.500000 -169.565321 0.011406
41 -0.500000 -169.918434 0.011409
42 -0.500000 -170.037115 0.011377
43 -0.500000 -170.219057 0.011369
44 -0.500000 -170.331433 0.011372
45 -0.500000 -170.502124 0.011360
46 -0.500000 -170.581077 0.011387
47 -0.500000 -170.789379 0.011372
48 -0.500000 -170.823988 0.011360
49 -0.500000 -170.893909 0.011326
50 -0.500000 -170.982404 0.011332
51 -0.500000 -171.097219 0.011353
52 -0.500000 -171.200167 0.011350
53 -0.500000 -171.295735 0.011318
54 -0.500000 -171.456606 0.011301
55 -0.500000 -171.583361 0.011298
56 -0.500000 -171.637831 0.011314
57 -0.500000 -171.726058 0.011336
58 -0.500000 -171.843780 0.011305
59 -0.500000 -172.035605 0.011301
60 -0.500000 -172.073212 0.011280
61 -0.500000 -172.149241 0.011300
62 -0.500000 -172.301055 0.011261
63 -0.500000 -172.401458 0.011243
64 -0.500000 -172.591724 0.011254
65 -0.500000 -172.656617 0.011253
66 -0.500000 -172.848360 0.011212
67 -0.500000 -172.991267 0.011192
68 -0.500000 -173.073510 0.011151
69 -0.500000 -173.154739 0.011132
70 -0.500000 -173.240524 0.011138
71 -0.500000 -173.347457 0.011122
72 -0.500000 -173.444812 0.011115
73 -0.500000 -173.477978 0.011104
74 -0.500000 -173.522297 0.011118
75 -0.500000 -173.614545 0.011130
76 -0.500000 -173.707437 0.011121
77 -0.500000 -173.764637 0.011087
78 -0.500000 -173.881951 0.011065
79 -0.500000 -174.029358 0.011060
80 -0.500000 -174.115762 0.011065
81 -0.500000 -174.217092 0.011073
82 -0.500000 -174.304862 0.011082
83 -0.500000 -174.371053 0.011071
84 -0.500000 -174.561141 0.011086
85 -0.500000 -174.639998 0.011062
86 -0.500000 -174.847967 0.011058
87 -0.500000 -174.913486 0.011033
88 -0.500000 -175.110974 0.011020
89 -0.500000 -175.230761 0.011054
90 -0.500000 -175.361874 0.011055
91 -0.500000 -175.537017 0.011046
92 -0.500000 -175.655367 0.011057
93 -0.500000 -175.695180 0.011049
94 -0.500000 -175.824307 0.011008
95 -0.500000 -175.863126 0.010989
96 -0.500000 -175.920986 0.010999
97 -0.500000 -175.996571 0.010991
98 -0.500000 -176.103139 0.010977
99 -0.500000 -176.144776 0.010999
100 -0.500000 -176.180985 0.010989
101 -0.500000 -176.436664 0.010988
102 -0.500000 -176.558787 0.010957
103 -0.500000 -176.609668 0.010953
104 -0.500000 -176.651459 0.010976
105 -0.500000 -176.722944 0.010969
106 -0.500000 -176.783717 0.010970
107 -0.500000 -176.826111 0.010960
108 -0.500000 -176.875581 0.010931
109 -0.500000 -176.988260 0.010941
110 -0.500000 -177.135117 0.010950
111 -0.500000 -177.206207 0.010960
112 -0.500000 -177.287194 0.010948
113 -0.500000 -177.369904 0.010954
114 -0.500000 -177.477171 0.010928
115 -0.500000 -177.647226 0.010902
116 -0.500000 -177.741774 0.010884
117 -0.500000 -177.927534 0.010874
118 -0.500000 -177.941546 0.010858
119 -0.500000 -178.006338 0.010855
120 -0.500000 -178.093286 0.010859
121 -0.500000 -178.177307 0.010848
